"Code";"Habitat";"Age";"Surface";"Buchholzia";"Buchholzia fallax";"Enchytraeidae";"Enchytraeus";"Enchytraeus japonensis";"Enchytraeus luxuriosus";"Fridericia";"Fridericia tuberosa";"Henlea cf. andreae PDW-2010";"Henlea ventriculosa";"Hormogastridae";"Vignysa";"Vignysa teres";"Aporrectodea";"Aporrectodea nocturna";"Aporrectodea rosea";"Bimastos";"Bimastos parvus";"Eisenia andrei";"Eisenia fetida";"Eiseniella tetraedra";"Lumbricidae";"Lumbricinae";"Achaeta";"Achaeta iberica";"Amynthas";"Megascolecidae";"Microscolex";"Microscolex dubius";"Microscolex phosphoreus";"Naididae";"Eukerria";"Eukerria saltensis";"Ocnerodrilidae";"Lumbricina";"Oligochaeta"
"EspV_17Dau";"EspV";2;"14.27";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"EspV_18Dau";"EspV";2;"18.25";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
"EspV_19Dau";"EspV";2;"30";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"EvEx_11Dau";"EvEx";2;"21.21";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"CpPl_40Dic";"CpUt";1;"52.07";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"CpPl_41Dic";"EvEx";1;"59.78";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"CpPl_42Dic";"EvEx";1;"34.52";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"CpUt_31Dic";"CpPl";1;"112.44";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"CpUt_32Dic";"CpUt";1;"203.96";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"CpUt_33Dic";"CpUt";1;"40.49";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"CpPl_50EnsE";"CpPl";1;"26.8";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1
"CpPl_51EnsE";"CpPl";1;"15.39";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"CpUt_47EnsE";"CpUt";1;"16.27";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"CpUt_48EnsE";"CpUt";1;"12.15";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"EspV_20EnsE";"EspV";1;"58.53";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
